date,commodity,actual,predicted,residual,model
2025-01-03,Bulb Onions (Yellow),0.52,0.5170562504269409,0.0029437495730590957,"ARIMAX(1,1,1)+xreg"
2025-01-10,Bulb Onions (Yellow),0.52,0.5451919249981146,-0.025191924998114623,"ARIMAX(1,1,1)+xreg"
2025-01-17,Bulb Onions (Yellow),0.52,0.5572899384436315,-0.03728993844363149,"ARIMAX(1,1,1)+xreg"
2025-01-24,Bulb Onions (Yellow),0.48,0.5679138579387284,-0.08791385793872841,"ARIMAX(1,1,1)+xreg"
2025-01-31,Bulb Onions (Yellow),0.48,0.5775553173544845,-0.09755531735448453,"ARIMAX(1,1,1)+xreg"
2025-02-07,Bulb Onions (Yellow),0.49,0.5774080191378154,-0.08740801913781537,"ARIMAX(1,1,1)+xreg"
2025-02-14,Bulb Onions (Yellow),0.49,0.5855218482102381,-0.09552184821023812,"ARIMAX(1,1,1)+xreg"
2025-02-21,Bulb Onions (Yellow),0.57,0.5929643747634306,-0.022964374763430606,"ARIMAX(1,1,1)+xreg"
2025-02-28,Bulb Onions (Yellow),0.57,0.5997448415039456,-0.02974484150394563,"ARIMAX(1,1,1)+xreg"
2025-03-07,Bulb Onions (Yellow),0.48,0.5862638563824134,-0.10626385638241342,"ARIMAX(1,1,1)+xreg"
2025-03-14,Bulb Onions (Yellow),0.48,0.5994817759924236,-0.1194817759924236,"ARIMAX(1,1,1)+xreg"
2025-03-21,Bulb Onions (Yellow),0.45,0.6041471373833286,-0.15414713738332858,"ARIMAX(1,1,1)+xreg"
2025-03-28,Bulb Onions (Yellow),0.45,0.6080404749024381,-0.15804047490243806,"ARIMAX(1,1,1)+xreg"
2025-04-04,Bulb Onions (Yellow),0.51,0.6304844964794118,-0.12048449647941184,"ARIMAX(1,1,1)+xreg"
2025-04-11,Bulb Onions (Yellow),0.51,0.6320815753232829,-0.1220815753232829,"ARIMAX(1,1,1)+xreg"
2025-04-18,Bulb Onions (Yellow),0.53,0.633484827358853,-0.103484827358853,"ARIMAX(1,1,1)+xreg"
