date,commodity,actual,predicted,residual,model
2025-01-03,Bulb Onions (Yellow),0.52,0.5517805020538485,-0.031780502053848525,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-10,Bulb Onions (Yellow),0.52,0.5774638047130544,-0.057463804713054345,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-17,Bulb Onions (Yellow),0.52,0.5474795639787657,-0.02747956397876572,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-24,Bulb Onions (Yellow),0.48,0.5467051742267829,-0.0667051742267829,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-31,Bulb Onions (Yellow),0.48,0.5731802236443876,-0.0931802236443876,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-07,Bulb Onions (Yellow),0.49,0.6071091539653533,-0.11710915396535326,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-14,Bulb Onions (Yellow),0.49,0.6188817685250546,-0.12888176852505462,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-21,Bulb Onions (Yellow),0.57,0.6453173348850908,-0.07531733488509085,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-28,Bulb Onions (Yellow),0.57,0.7305515017259434,-0.16055150172594346,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-07,Bulb Onions (Yellow),0.48,0.7739068270176527,-0.2939068270176527,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-14,Bulb Onions (Yellow),0.48,0.7775428291782961,-0.2975428291782961,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-21,Bulb Onions (Yellow),0.45,0.7855408010372711,-0.3355408010372711,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-28,Bulb Onions (Yellow),0.45,0.7595969903178392,-0.3095969903178392,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-04,Bulb Onions (Yellow),0.51,0.7722567462148614,-0.2622567462148614,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-11,Bulb Onions (Yellow),0.51,0.8315392129297079,-0.3215392129297079,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-18,Bulb Onions (Yellow),0.53,0.830442670535864,-0.30044267053586393,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-25,Bulb Onions (Yellow),0.53,0.8432616725140804,-0.3132616725140803,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-02,Bulb Onions (Yellow),0.56,0.8353230892181261,-0.2753230892181261,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-09,Bulb Onions (Yellow),0.56,0.8521735206520242,-0.2921735206520242,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-16,Bulb Onions (Yellow),0.61,0.7247942389893278,-0.11479423898932783,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-23,Bulb Onions (Yellow),0.61,0.7341839367561295,-0.12418393675612949,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-30,Bulb Onions (Yellow),0.63,0.7883078657634334,-0.15830786576343336,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-06,Bulb Onions (Yellow),0.63,0.7911567686761876,-0.16115676867618756,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-13,Bulb Onions (Yellow),0.5,0.5588174928312498,-0.05881749283124982,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-20,Bulb Onions (Yellow),0.5,0.5261948296028052,-0.02619482960280517,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-27,Bulb Onions (Yellow),0.57,0.45206599967375277,0.11793400032624718,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-04,Bulb Onions (Yellow),0.57,0.4498251310994361,0.12017486890056384,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-11,Bulb Onions (Yellow),0.63,0.47039248527660293,0.15960751472339707,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-18,Bulb Onions (Yellow),0.63,0.5219509022147039,0.10804909778529614,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-25,Bulb Onions (Yellow),0.62,0.6055880231799028,0.014411976820097205,"SARIMA(1,1,1)(1,1,1,52)"
2025-08-01,Bulb Onions (Yellow),0.62,0.595915758814012,0.024084241185987953,"SARIMA(1,1,1)(1,1,1,52)"
2025-08-08,Bulb Onions (Yellow),0.62,0.6044131436481439,0.015586856351856082,"SARIMA(1,1,1)(1,1,1,52)"
2025-08-15,Bulb Onions (Yellow),0.62,0.6038035964230194,0.0161964035769806,"SARIMA(1,1,1)(1,1,1,52)"
2025-08-22,Bulb Onions (Yellow),0.56,0.5767396716290718,-0.01673967162907175,"SARIMA(1,1,1)(1,1,1,52)"
2025-08-29,Bulb Onions (Yellow),0.56,0.6086222516004541,-0.04862225160045408,"SARIMA(1,1,1)(1,1,1,52)"
2025-09-05,Bulb Onions (Yellow),0.54,0.6173205346228173,-0.0773205346228173,"SARIMA(1,1,1)(1,1,1,52)"
2025-09-12,Bulb Onions (Yellow),0.54,0.6137783760689104,-0.07377837606891036,"SARIMA(1,1,1)(1,1,1,52)"
2025-09-19,Bulb Onions (Yellow),0.48,0.6063084622390665,-0.12630846223906655,"SARIMA(1,1,1)(1,1,1,52)"
2025-09-26,Bulb Onions (Yellow),0.48,0.6127043085526919,-0.13270430855269189,"SARIMA(1,1,1)(1,1,1,52)"
2025-10-03,Bulb Onions (Yellow),0.49,0.5855557996490852,-0.09555579964908523,"SARIMA(1,1,1)(1,1,1,52)"
2025-10-10,Bulb Onions (Yellow),0.49,0.5579186636222021,-0.06791866362220211,"SARIMA(1,1,1)(1,1,1,52)"
2025-10-17,Bulb Onions (Yellow),0.51,0.5653493487788182,-0.05534934877881814,"SARIMA(1,1,1)(1,1,1,52)"
2025-10-24,Bulb Onions (Yellow),0.51,0.5501077245738405,-0.040107724573840486,"SARIMA(1,1,1)(1,1,1,52)"
2025-10-31,Bulb Onions (Yellow),0.52,0.5585259449212905,-0.03852594492129047,"SARIMA(1,1,1)(1,1,1,52)"
2025-11-07,Bulb Onions (Yellow),0.52,0.5281163255441708,-0.008116325544170744,"SARIMA(1,1,1)(1,1,1,52)"
2025-11-14,Bulb Onions (Yellow),0.49,0.5486803246169716,-0.05868032461697159,"SARIMA(1,1,1)(1,1,1,52)"
2025-11-21,Bulb Onions (Yellow),0.49,0.5437189525006948,-0.053718952500694805,"SARIMA(1,1,1)(1,1,1,52)"
2025-11-28,Bulb Onions (Yellow),0.49,0.5443991273373712,-0.05439912733737118,"SARIMA(1,1,1)(1,1,1,52)"
2025-12-05,Bulb Onions (Yellow),0.49,0.5983757120061093,-0.10837571200610929,"SARIMA(1,1,1)(1,1,1,52)"
2025-12-12,Bulb Onions (Yellow),0.52,0.597529001334509,-0.07752900133450902,"SARIMA(1,1,1)(1,1,1,52)"
2025-12-19,Bulb Onions (Yellow),0.52,0.5586276177888141,-0.03862761778881407,"SARIMA(1,1,1)(1,1,1,52)"
2025-12-26,Bulb Onions (Yellow),0.5438500000000001,0.5829515159705512,-0.039101515970551115,"SARIMA(1,1,1)(1,1,1,52)"
2026-01-02,Bulb Onions (Yellow),0.5438500000000001,0.6104565212492593,-0.06660652124925925,"SARIMA(1,1,1)(1,1,1,52)"
2026-01-09,Bulb Onions (Yellow),0.5438500000000001,0.6300690495941698,-0.0862190495941697,"SARIMA(1,1,1)(1,1,1,52)"
2026-01-16,Bulb Onions (Yellow),0.5438500000000001,0.5825457844156997,-0.03869578441569965,"SARIMA(1,1,1)(1,1,1,52)"
2026-01-23,Bulb Onions (Yellow),0.64,0.5789727783509989,0.061027221649001095,"SARIMA(1,1,1)(1,1,1,52)"
2026-01-30,Bulb Onions (Yellow),0.64,0.6110522262719552,0.0289477737280448,"SARIMA(1,1,1)(1,1,1,52)"
2026-02-06,Bulb Onions (Yellow),0.56,0.6349163825822657,-0.07491638258226563,"SARIMA(1,1,1)(1,1,1,52)"
2026-02-13,Bulb Onions (Yellow),0.56,0.641156408013411,-0.08115640801341095,"SARIMA(1,1,1)(1,1,1,52)"
2026-02-20,Bulb Onions (Yellow),0.56,0.7016672807526373,-0.14166728075263724,"SARIMA(1,1,1)(1,1,1,52)"
