date,commodity,actual,predicted,residual,model
2025-01-03,Cabbage,0.595,0.5967589391190836,-0.0017589391190836468,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-10,Cabbage,0.595,0.600883534381015,-0.005883534381015076,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-17,Cabbage,0.595,0.5951486754468932,-0.00014867544689323164,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-24,Cabbage,0.5900000000000001,0.5927052396585845,-0.0027052396585843796,"SARIMA(1,1,1)(1,1,1,52)"
2025-01-31,Cabbage,0.5900000000000001,0.6038023359665314,-0.013802335966531354,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-07,Cabbage,0.6074999999999999,0.5828489373319287,0.024651062668071266,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-14,Cabbage,0.6074999999999999,0.600373952171179,0.0071260478288209805,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-21,Cabbage,0.6075,0.6288779278860464,-0.02137792788604631,"SARIMA(1,1,1)(1,1,1,52)"
2025-02-28,Cabbage,0.6075,0.6487593344104879,-0.0412593344104879,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-07,Cabbage,0.62,0.6367161654846655,-0.01671616548466548,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-14,Cabbage,0.62,0.6928123856337388,-0.07281238563373882,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-21,Cabbage,0.615,0.7185156608061972,-0.10351566080619723,"SARIMA(1,1,1)(1,1,1,52)"
2025-03-28,Cabbage,0.615,0.7245060470370984,-0.10950604703709843,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-04,Cabbage,0.6625,0.759896798928906,-0.09739679892890607,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-11,Cabbage,0.6625,0.7808888305684503,-0.11838883056845029,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-18,Cabbage,0.718,0.7924141146338285,-0.07441411463382852,"SARIMA(1,1,1)(1,1,1,52)"
2025-04-25,Cabbage,0.718,0.7909311188672968,-0.07293111886729686,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-02,Cabbage,0.736,0.7887615005818142,-0.05276150058181417,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-09,Cabbage,0.736,0.8018470196170765,-0.06584701961707651,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-16,Cabbage,0.758,0.8008576932264878,-0.0428576932264878,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-23,Cabbage,0.758,0.8799181095109831,-0.12191810951098314,"SARIMA(1,1,1)(1,1,1,52)"
2025-05-30,Cabbage,0.842,0.8999024879730256,-0.05790248797302566,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-06,Cabbage,0.842,0.8919260417797957,-0.04992604177979576,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-13,Cabbage,0.922,0.9238919962767888,-0.00189199627678871,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-20,Cabbage,0.922,0.8910088601130093,0.03099113988699076,"SARIMA(1,1,1)(1,1,1,52)"
2025-06-27,Cabbage,0.8539999999999999,0.9047674854157381,-0.05076748541573828,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-04,Cabbage,0.8539999999999999,0.8662850552384412,-0.012285055238441367,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-11,Cabbage,0.792,0.8567382026911806,-0.06473820269118058,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-18,Cabbage,0.792,0.8225578310674909,-0.03055783106749088,"SARIMA(1,1,1)(1,1,1,52)"
2025-07-25,Cabbage,0.76,0.8060916985392591,-0.046091698539259096,"SARIMA(1,1,1)(1,1,1,52)"
2025-08-01,Cabbage,0.76,0.7850318564906491,-0.025031856490649096,"SARIMA(1,1,1)(1,1,1,52)"
