commodity,model,RMSE,MAE,MASE,sMAPE
Bulb Onions (Yellow),ARIMAX,0.0632542351580438,0.048511329357849,1.3574105338683735,8.738752595980193
Cabbage,ARIMAX,0.0451407341251379,0.0347470311578759,1.691572454799641,4.997588064728456
Carrots,ARIMAX,0.0617319008525226,0.0497087919180404,2.776064434401416,9.480660860945738
Lettuce,ARIMAX,0.0332435515393826,0.0276404076548541,1.2601150321898755,4.027365843252294
Asparagus,Mamba,4.7572,4.025,2.4806,29.3544
Beetroot,Mamba,0.1237,0.1161,6.1476,17.0594
Bulb Onions (Red),Mamba,0.0936,0.0594,1.4269,8.2935
Bulb Onions (Yellow),Mamba,0.1055,0.0821,2.1581,13.8445
Cabbage,Mamba,0.0468,0.0372,1.7264,5.3204
Capsicums (Green),Mamba,0.3978,0.3331,1.356,22.7071
Capsicums (Red),Mamba,0.7114,0.4355,1.8616,29.9888
Carrots,Mamba,0.0698,0.0535,2.7982,9.4392
Cooking Apples,Mamba,0.1695,0.144,2.1135,11.6754
Cucumbers,Mamba,0.1934,0.1574,1.2474,15.6991
Curly kale,Mamba,0.3653,0.2923,2.1947,6.7146
Dessert Apples,Mamba,0.1292,0.1087,1.6177,8.7809
Leeks,Mamba,0.1134,0.0875,1.418,5.6305
Lettuce,Mamba,0.0884,0.0787,3.4485,12.0275
Pak choi,Mamba,0.2998,0.2403,1.8236,7.0121
Pears,Mamba,0.1797,0.1303,1.2451,11.8778
Spring greens,Mamba,0.1873,0.1455,1.9022,10.3916
Strawberries,Mamba,1.5812,1.1455,1.1805,21.0015
Tomatoes (Round),Mamba,0.2502,0.1987,1.0397,19.4704
Tomatoes (Vine),Mamba,0.4648,0.3593,1.1745,23.8289
Cabbage,N-BEATS,0.076793,0.064762,,9.38014
Carrots,N-BEATS,0.077329,0.059171,,10.456612
Lettuce,N-BEATS,0.094316,0.076307,,10.686865
Onions (Yellow),N-BEATS,0.100537,0.081408,,13.9669
Asparagus,S-Mamba,5.1639,4.4172,2.7223,33.0874
Beetroot,S-Mamba,0.1013,0.0792,4.191,9.9769
Bulb Onions (Red),S-Mamba,0.141,0.1134,2.7233,15.3041
Bulb Onions (Yellow),S-Mamba,0.078,0.0613,1.6109,11.5388
Cabbage,S-Mamba,0.1516,0.1307,6.0652,17.386
Capsicums (Green),S-Mamba,0.3798,0.2741,1.1159,18.6703
Capsicums (Red),S-Mamba,0.6126,0.4671,1.9968,30.0588
Carrots,S-Mamba,0.0541,0.0372,1.9488,6.9116
Cooking Apples,S-Mamba,0.1868,0.1654,2.4271,13.0906
Cucumbers,S-Mamba,0.2252,0.1896,1.5024,17.5563
Curly kale,S-Mamba,0.5642,0.5057,3.7968,11.052
Dessert Apples,S-Mamba,0.093,0.0762,1.1337,5.9455
Leeks,S-Mamba,0.1181,0.0834,1.3512,5.4424
Lettuce,S-Mamba,0.0384,0.0307,1.347,4.4258
Pak choi,S-Mamba,0.1557,0.124,0.9411,3.4643
Pears,S-Mamba,0.2097,0.1602,1.5302,14.4297
Spring greens,S-Mamba,0.2619,0.2056,2.6881,14.5523
Strawberries,S-Mamba,1.9985,1.5963,1.6451,29.0243
Tomatoes (Round),S-Mamba,0.2653,0.2234,1.1692,20.5306
Tomatoes (Vine),S-Mamba,0.3863,0.2153,0.7039,13.1327
Bulb Onions (Yellow),SARIMA,0.1462582419461595,0.1128378260827581,3.1573501648179723,18.575249772903422
Cabbage,SARIMA,0.0454090239920804,0.0328013645920971,1.596852536026088,4.5971437146922565
Carrots,SARIMA,0.071424002599518,0.062584595478287,3.49513361610421,11.913291455001604
Lettuce,SARIMA,0.0426298004316414,0.0344976559636347,1.572734215714676,5.00004440683505
Cabbage,TimeGPT,0.062554,0.044342,,6.383757
Carrots,TimeGPT,0.049329,0.040258,,7.716896
Lettuce,TimeGPT,0.042754,0.03543,,5.188792
Onions (Yellow),TimeGPT,0.08038,0.063572,,12.247413
