commodity,model,RMSE,MAE,MASE,sMAPE
Bulb Onions (Yellow),ARIMAX,0.0632542351580438,0.048511329357849,1.3574105338683735,8.738752595980193
Cabbage,ARIMAX,0.0451407341251379,0.0347470311578759,1.691572454799641,4.997588064728456
Carrots,ARIMAX,0.0617319008525226,0.0497087919180404,2.776064434401416,9.480660860945738
Lettuce,ARIMAX,0.0332435515393826,0.0276404076548541,1.2601150321898755,4.027365843252294
Bulb Onions (Yellow),Mamba,0.1055,0.0821,2.1581,13.8445
Cabbage,Mamba,0.0468,0.0372,1.7264,5.3204
Carrots,Mamba,0.0698,0.0535,2.7982,9.4392
Lettuce,Mamba,0.0884,0.0787,3.4485,12.0275
Cabbage,N-BEATS,0.076793,0.064762,,9.38014
Carrots,N-BEATS,0.077329,0.059171,,10.456612
Lettuce,N-BEATS,0.094316,0.076307,,10.686865
Bulb Onions (Yellow),S-Mamba,0.078,0.0613,1.6109,11.5388
Cabbage,S-Mamba,0.1516,0.1307,6.0652,17.386
Carrots,S-Mamba,0.0541,0.0372,1.9488,6.9116
Lettuce,S-Mamba,0.0384,0.0307,1.347,4.4258
Bulb Onions (Yellow),SARIMA,0.1462582419461595,0.1128378260827581,3.1573501648179723,18.575249772903422
Cabbage,SARIMA,0.0454090239920804,0.0328013645920971,1.596852536026088,4.5971437146922565
Carrots,SARIMA,0.071424002599518,0.062584595478287,3.49513361610421,11.913291455001604
Lettuce,SARIMA,0.0426298004316414,0.0344976559636347,1.572734215714676,5.00004440683505
Cabbage,TimeGPT,0.062554,0.044342,,6.383757
Carrots,TimeGPT,0.049329,0.040258,,7.716896
Lettuce,TimeGPT,0.042754,0.03543,,5.188792
